Frame,Time,WRUX,WRUY,WRUZ,WRRX,WRRY,WRRZ,FARX,FARY,FARZ,FAUX,FAUY,FAUZ,CMC1X,CMC1Y,CMC1Z,CMC2X,CMC2Y,CMC2Z,CMC5X,CMC5Y,CMC5Z,MCP1X,MCP1Y,MCP1Z,MCP2X,MCP2Y,MCP2Z,MCP3X,MCP3Y,MCP3Z,MCP4X,MCP4Y,MCP4Z,MCP5X,MCP5Y,MCP5Z,IPX,IPY,IPZ,FT1X,FT1Y,FT1Z,PIP2X,PIP2Y,PIP2Z,DIP2X,DIP2Y,DIP2Z,FT2X,FT2Y,FT2Z,PIP3X,PIP3Y,PIP3Z,DIP3X,DIP3Y,DIP3Z,FT3X,FT3Y,FT3Z,PIP4X,PIP4Y,PIP4Z,DIP4X,DIP4Y,DIP4Z,FT4X,FT4Y,FT4Z,PIP5X,PIP5Y,PIP5Z,DIP5X,DIP5Y,DIP5Z,FT5X,FT5Y,FT5Z
418,2.78,481.293,52.998,-164.52,432.158,48.314,-159.951,444.088,63.308,-116.515,487.525,67.325,-110.274,411.214,16.569,-189.643,436.056,54.549,-205.948,479.075,47.166,-207.76,400.512,4.393,-220.123,422.856,63.479,-247.407,450.917,65.438,-248.476,471.56,58.118,-243.317,488.773,44.157,-239.817,390.531,-20.605,-248.48,401.065,-28.819,-268.976,417.205,46.471,-301.156,419.633,12.984,-313.376,422.678,-1.782,-310.349,464.901,66.168,-303.897,456.408,27.699,-318.447,450.037,13.401,-306.734,490.662,41.968,-288.188,476.804,9.334,-307.343,460.568,-1.42,-304.179,490.713,4.219,-271.304,477.188,-18.495,-275.74,466.527,-25.482,-275.564
419,2.78667,481.561,53.984,-164.082,432.429,49.329,-159.282,444.408,64.122,-115.845,487.833,68.128,-109.647,411.345,17.707,-188.882,436.223,55.727,-205.175,479.227,48.244,-207.307,400.439,5.506,-219.326,422.738,64.816,-246.596,450.929,66.889,-247.757,471.672,59.438,-242.798,488.826,45.278,-239.492,390.538,-19.433,-247.995,401.477,-27.4,-268.393,417.234,47.854,-300.573,419.65,14.197,-312.319,422.671,-0.534,-308.947,464.469,67.678,-303.32,455.591,29.268,-317.842,449.224,15.034,-306.106,490.079,42.918,-287.778,476.054,10.453,-307.136,459.994,-0.448,-304.118,490.01,4.932,-270.315,476.744,-17.763,-274.9,466.256,-24.789,-274.983
420,2.79333,481.831,54.938,-163.538,432.704,50.419,-158.623,444.741,64.983,-115.158,488.194,68.952,-109.016,411.457,18.885,-188.128,436.343,56.978,-204.432,479.462,49.366,-206.918,400.131,6.726,-218.55,422.625,66.248,-245.736,450.945,68.422,-247.101,471.829,60.777,-242.392,488.814,46.29,-239.123,390.485,-18.083,-247.538,401.934,-25.955,-267.777,417.361,49.288,-300.009,419.775,15.433,-311.285,422.904,0.773,-307.644,463.983,69.157,-302.765,454.849,30.813,-317.253,448.419,16.611,-305.524,489.382,43.628,-287.398,475.296,11.364,-306.834,459.28,0.442,-304.251,489.332,5.442,-269.208,475.748,-17.77,-274.685,466.045,-24.258,-274.362
421,2.8,482.119,55.889,-163.032,433.056,51.483,-157.956,445.133,65.87,-114.5,488.607,69.713,-108.399,411.627,20.045,-187.31,436.511,58.289,-203.685,479.641,50.487,-206.446,399.938,7.928,-217.69,422.61,67.704,-244.909,451.086,69.962,-246.428,471.984,62.085,-241.905,488.915,47.302,-238.872,390.461,-16.766,-247.033,402.278,-24.345,-267.208,417.533,50.869,-299.425,419.9,16.86,-310.25,422.974,2.279,-306.324,463.605,70.553,-302.224,454.141,32.252,-316.639,447.817,18.13,-304.939,488.689,44.224,-286.957,474.675,12.309,-306.418,458.711,1.153,-304.51,488.55,5.834,-267.818,475.434,-17.173,-273.614,465.895,-23.918,-273.687
422,2.80667,482.403,56.851,-162.515,433.35,52.535,-157.278,445.489,66.806,-113.858,488.979,70.479,-107.799,411.764,21.305,-186.515,436.731,59.591,-202.928,479.864,51.606,-205.973,399.742,9.199,-216.823,422.681,69.229,-244.066,451.334,71.512,-245.77,472.222,63.426,-241.441,489.008,48.374,-238.462,390.289,-15.299,-246.523,402.429,-22.656,-266.63,417.846,52.617,-298.861,420.067,18.476,-309.343,422.973,3.929,-305.192,463.209,71.807,-301.62,453.53,33.642,-316.089,447.077,19.41,-304.477,488.119,44.826,-286.445,474.36,13.247,-306.129,458.515,1.866,-304.992,487.852,6.3,-266.44,475.106,-16.502,-272.461,465.953,-23.431,-273.091
423,2.81333,482.694,57.83,-161.977,433.626,53.651,-156.612,445.902,67.708,-113.265,489.345,71.224,-107.19,411.871,22.564,-185.765,436.932,60.931,-202.151,480.069,52.734,-205.408,399.295,10.74,-216.062,422.805,70.79,-243.173,451.566,73.069,-245.062,472.563,64.794,-240.946,489.118,49.441,-238.022,390.064,-13.789,-245.995,402.486,-20.988,-266.013,418.324,54.452,-298.285,420.195,20.233,-308.555,422.896,5.702,-304.218,462.906,73.03,-301.012,453.025,35.021,-315.643,446.516,20.619,-304.257,487.647,45.526,-285.776,474.409,14.412,-306.115,458.87,2.751,-305.884,487.245,6.914,-265.066,475.542,-14.539,-270.52,466.171,-22.854,-272.463
424,2.82,482.952,58.826,-161.411,433.891,54.772,-155.951,446.193,68.668,-112.647,489.733,72.045,-106.611,411.971,23.895,-185.047,437.152,62.287,-201.377,480.282,53.906,-204.87,399.218,12.134,-215.279,422.961,72.369,-242.331,451.761,74.641,-244.357,472.88,66.187,-240.426,489.297,50.598,-237.61,389.9,-12.289,-245.397,402.462,-19.255,-265.466,418.646,56.379,-297.64,420.259,22.215,-307.94,422.78,7.563,-303.383,462.568,74.199,-300.39,452.631,36.536,-315.439,446.395,21.806,-304.401,487.222,46.338,-285.056,474.852,15.818,-306.179,459.632,3.835,-307.295,486.721,7.561,-263.705,475.661,-13.538,-269.466,466.656,-22.066,-272.039
425,2.82667,483.219,59.892,-160.884,434.164,55.903,-155.257,446.558,69.606,-111.994,490.076,72.881,-106.014,412.14,25.286,-184.395,437.376,63.703,-200.671,480.521,55.103,-204.315,399.164,13.656,-214.655,423.109,73.95,-241.517,452.009,76.168,-243.694,473.194,67.588,-239.97,489.402,51.734,-237.182,389.798,-10.728,-244.869,402.453,-17.534,-264.934,418.816,58.25,-296.977,420.182,24.006,-307.249,422.579,9.414,-302.589,462.255,75.404,-299.707,452.405,38.083,-315.325,446.182,22.863,-305.021,486.867,47.179,-284.296,475.527,17.363,-306.295,460.857,5.073,-308.966,486.256,8.223,-262.397,475.813,-12.479,-268.404,467.312,-21.203,-271.627
426,2.83333,483.467,60.95,-160.322,434.452,57.104,-154.634,446.861,70.618,-111.341,490.402,73.804,-105.416,412.256,26.659,-183.779,437.595,65.161,-199.967,480.762,56.332,-203.816,399.265,15.064,-213.987,423.267,75.574,-240.716,452.335,77.737,-243.069,473.512,68.993,-239.551,489.539,52.925,-236.769,389.829,-9.249,-244.314,402.554,-15.907,-264.41,418.79,60.141,-296.284,419.994,25.788,-306.546,422.372,11.247,-301.857,462.072,76.763,-299.008,452.382,39.971,-315.529,446.461,24.265,-306.212,486.509,47.846,-283.503,476.355,18.981,-306.267,462.414,6.405,-310.792,485.829,8.917,-261.021,476.114,-11.379,-267.282,468.19,-20.274,-271.186
427,2.84,483.621,62.113,-159.674,434.685,58.107,-154.08,447.12,71.672,-110.69,490.691,74.722,-104.784,412.421,28.037,-183.18,437.76,66.635,-199.308,480.972,57.58,-203.296,399.341,16.562,-213.402,423.438,77.166,-239.987,452.627,79.319,-242.532,473.855,70.441,-239.235,489.721,54.121,-236.421,389.929,-7.794,-243.774,402.672,-14.293,-263.906,418.663,61.972,-295.59,419.76,27.579,-305.878,422.193,12.966,-301.263,461.755,78.163,-298.191,452.515,42.114,-315.977,446.818,25.625,-307.992,486.084,48.49,-282.75,477.232,20.509,-306.25,464.226,7.887,-312.546,485.476,9.736,-259.754,476.459,-10.248,-266.184,469.103,-19.247,-270.637
428,2.84667,483.871,63.362,-159.125,434.958,59.383,-153.449,447.424,72.719,-110.034,490.984,75.716,-104.17,412.475,29.527,-182.642,437.96,68.132,-198.683,481.208,58.876,-202.808,399.494,18.041,-212.869,423.736,78.911,-239.242,452.9,80.909,-241.989,474.165,71.852,-238.898,489.906,55.32,-236.139,390.102,-6.4,-243.239,402.922,-12.792,-263.402,418.474,63.734,-294.863,419.526,29.343,-305.241,422.047,14.73,-300.657,461.477,79.437,-297.45,452.727,44.32,-316.601,447.3,27.154,-310.28,485.724,49.075,-281.995,478.037,21.948,-305.8,466.191,9.526,-314.03,485.113,10.441,-258.501,476.736,-9.126,-265.043,469.891,-18.193,-269.885
429,2.85333,484.071,64.57,-158.567,435.187,60.678,-152.826,447.709,73.82,-109.384,491.225,76.73,-103.528,412.623,30.99,-182.126,438.168,69.631,-198.078,481.402,60.192,-202.293,399.66,19.565,-212.394,423.932,80.548,-238.596,453.255,82.455,-241.573,474.427,73.21,-238.662,490.059,56.48,-235.804,390.389,-4.954,-242.734,403.236,-11.266,-262.927,418.054,65.441,-294.118,419.143,31.079,-304.61,421.812,16.388,-300.141,461.15,80.567,-296.691,452.947,46.61,-317.243,448.11,29.062,-312.824,485.336,49.617,-281.194,479.007,23.404,-305.316,468.259,11.297,-315.285,484.876,11.307,-257.347,476.904,-8.013,-263.857,470.429,-17.157,-268.95
430,2.86,484.267,65.788,-158.032,435.393,62.041,-152.21,447.949,74.943,-108.744,491.496,77.76,-102.914,412.801,32.453,-181.605,438.371,71.14,-197.508,481.623,61.492,-201.804,399.919,21.049,-211.931,424.005,82.089,-238,453.562,83.947,-241.2,474.713,74.558,-238.437,490.196,57.663,-235.43,390.761,-3.58,-242.249,403.57,-9.803,-262.477,417.541,67.135,-293.364,418.589,32.832,-304.023,420.85,18.327,-299.814,460.775,81.589,-295.984,453.219,48.888,-317.862,448.471,30.597,-315.566,484.96,50.143,-280.442,479.812,24.781,-304.787,470.214,13.12,-316.18,484.673,12.219,-256.226,476.898,-6.988,-262.626,470.619,-16.173,-267.828
431,2.86667,484.488,67.011,-157.496,435.6,63.418,-151.609,448.204,76.091,-108.111,491.729,78.793,-102.294,412.928,33.914,-181.155,438.586,72.644,-196.944,481.804,62.785,-201.314,400.188,22.531,-211.515,424.159,83.701,-237.395,453.91,85.457,-240.903,474.95,75.885,-238.202,490.353,58.948,-235.104,391.148,-2.199,-241.795,404.004,-8.379,-261.98,417.034,68.731,-292.623,418.141,34.518,-303.419,420.751,19.775,-299.31,460.322,82.512,-295.326,453.347,51.26,-318.393,449.213,32.847,-318.286,484.587,50.629,-279.734,480.52,25.969,-304.16,471.914,14.789,-316.542,484.512,13.147,-255.204,476.759,-6.042,-261.405,470.538,-15.23,-266.585
432,2.87333,484.666,68.213,-156.91,435.794,64.77,-151.013,448.439,77.259,-107.45,491.998,79.852,-101.669,413.11,35.348,-180.631,438.797,74.177,-196.388,482.024,64.077,-200.842,400.454,24.061,-211.096,424.315,85.293,-236.831,454.13,86.949,-240.58,475.137,77.235,-237.999,490.514,60.276,-234.779,391.572,-0.81,-241.307,404.382,-6.941,-261.56,416.436,70.197,-291.816,417.608,36.086,-302.802,420.519,21.242,-298.788,459.792,83.333,-294.701,453.395,53.648,-318.972,449.93,35.373,-321.172,484.268,51.099,-279.121,480.928,27.076,-303.397,473.183,16.287,-316.528,484.419,14.135,-254.227,476.6,-5.058,-260.207,470.379,-14.27,-265.318
433,2.88,484.901,69.461,-156.366,436.003,66.131,-150.415,448.677,78.425,-106.795,492.215,80.877,-101.02,413.213,36.806,-180.189,438.974,75.69,-195.836,482.154,65.412,-200.329,400.725,25.562,-210.696,424.418,86.928,-236.329,454.39,88.383,-240.328,475.302,78.594,-237.824,490.684,61.556,-234.503,392.038,0.537,-240.874,404.782,-5.616,-261.145,415.905,71.689,-291.04,416.816,37.619,-302.116,420.092,22.759,-297.672,459.11,84.048,-294.1,453.305,56.06,-319.366,450.757,38.307,-323.758,483.789,51.549,-278.459,481.113,27.806,-302.469,474.05,17.415,-316.159,484.354,15.187,-253.295,476.477,-4.035,-259.067,470.251,-13.263,-264.102
434,2.88667,485.097,70.583,-155.836,436.221,67.474,-149.803,448.996,79.565,-106.141,492.504,81.857,-100.392,413.352,38.254,-179.689,439.147,77.183,-195.215,482.33,66.711,-199.855,400.963,27.111,-210.321,424.501,88.582,-235.767,454.544,89.8,-239.999,475.332,80.024,-237.624,490.812,63.017,-234.157,392.455,2.032,-240.493,405.183,-4.152,-260.721,415.167,73.245,-290.128,415.903,39.138,-301.274,419.077,24.464,-297.017,458.353,84.72,-293.515,453.027,58.446,-319.637,451.389,41.491,-326.05,483.4,52.002,-277.854,481.069,28.6,-301.574,474.475,18.34,-315.479,484.456,16.368,-252.428,476.508,-2.94,-257.98,470.232,-12.222,-262.895
435,2.89333,485.339,71.741,-155.281,436.425,68.714,-149.181,449.289,80.65,-105.523,492.757,82.822,-99.764,413.433,39.657,-179.196,439.262,78.643,-194.578,482.458,68.015,-199.311,401.16,28.595,-209.888,424.537,90.212,-235.167,454.685,91.199,-239.625,475.381,81.484,-237.312,490.96,64.549,-233.769,392.834,3.428,-240.077,405.391,-2.624,-260.323,414.709,74.648,-289.299,415.321,40.61,-300.514,418.437,25.893,-296.324,457.461,85.454,-292.918,452.501,60.598,-319.618,451.455,44.361,-327.602,483.076,52.761,-277.184,480.807,29.307,-300.552,474.331,18.993,-314.432,484.511,17.683,-251.64,476.525,-1.685,-257.049,470.255,-10.944,-261.924
436,2.9,485.488,72.763,-154.711,436.594,69.889,-148.545,449.527,81.708,-104.912,493.031,83.738,-99.157,413.564,40.951,-178.641,439.411,80.074,-193.926,482.582,69.336,-198.753,401.286,30.128,-209.428,424.571,91.812,-234.506,454.762,92.686,-239.154,475.495,82.994,-236.92,491.081,66.089,-233.309,393.032,4.913,-239.625,405.502,-1.101,-259.867,414.306,76.012,-288.442,414.679,42.038,-299.848,417.868,27.345,-295.749,456.665,86.221,-292.275,451.991,62.53,-319.349,451.416,47.116,-328.518,482.899,53.718,-276.522,480.529,30.024,-299.562,473.963,19.708,-313.364,484.534,19.101,-251.01,476.511,-0.239,-256.382,470.201,-9.496,-261.254
437,2.90667,485.659,73.776,-154.154,436.768,70.999,-147.902,449.755,82.723,-104.294,493.301,84.594,-98.581,413.59,42.307,-178.113,439.527,81.496,-193.18,482.649,70.585,-198.129,401.414,31.608,-208.968,424.596,93.443,-233.798,454.848,94.126,-238.682,475.503,84.532,-236.436,491.259,67.625,-232.875,393.278,6.428,-239.175,405.655,0.456,-259.497,413.78,77.463,-287.464,413.904,43.637,-299.036,417.018,28.832,-295.165,455.887,86.98,-291.628,451.379,64.333,-318.952,451.136,49.682,-329.068,482.754,54.86,-275.881,480.125,31.071,-298.711,473.572,20.726,-312.449,484.503,20.608,-250.467,476.51,1.295,-255.885,470.179,-7.924,-260.754
438,2.91333,485.778,74.708,-153.61,436.965,72.063,-147.232,450.022,83.668,-103.648,493.53,85.442,-97.982,413.66,43.588,-177.58,439.644,82.849,-192.425,482.738,71.789,-197.526,401.503,33.096,-208.514,424.589,95.091,-233.017,454.886,95.596,-238.073,475.553,86.038,-235.825,491.386,69.239,-232.339,393.456,7.988,-238.787,405.951,1.948,-259.071,413.332,78.826,-286.452,413.311,45.256,-298.28,416.203,30.346,-294.673,455.024,87.819,-290.969,450.554,66.068,-318.395,450.592,52.082,-329.332,482.64,56.293,-275.238,479.852,32.458,-298.002,473.134,22.08,-311.66,484.53,22.205,-250.029,476.452,2.929,-255.435,470.095,-6.282,-260.302
439,2.92,485.966,75.625,-153.065,437.111,73.111,-146.574,450.262,84.568,-103.016,493.761,86.197,-97.356,413.799,44.764,-176.998,439.709,84.196,-191.633,482.812,73.061,-196.88,401.74,34.472,-208.032,424.52,96.713,-232.24,454.749,97.105,-237.393,475.491,87.601,-235.204,491.483,70.824,-231.814,393.698,9.497,-238.366,406.118,3.574,-258.709,412.973,80.167,-285.441,412.766,46.851,-297.534,415.455,31.901,-294.446,454.175,88.832,-290.234,449.694,67.792,-317.741,449.979,54.369,-329.275,482.583,57.853,-274.612,479.622,34.085,-297.359,472.82,23.725,-311.013,484.474,23.887,-249.628,476.425,4.636,-255.155,470.004,-4.559,-260.067
440,2.92667,486.124,76.518,-152.451,437.222,74.161,-145.908,450.424,85.492,-102.366,493.969,86.993,-96.743,413.876,45.9,-176.426,439.757,85.485,-190.833,482.788,74.322,-196.203,401.873,35.843,-207.563,424.356,98.25,-231.408,454.639,98.606,-236.674,475.468,89.196,-234.491,491.487,72.452,-231.201,393.875,10.931,-237.994,406.262,5.132,-258.397,412.627,81.443,-284.389,412.292,48.584,-296.936,414.685,33.531,-294.504,453.389,89.984,-289.453,448.922,69.663,-317.06,449.36,56.805,-329.08,482.444,59.608,-273.987,479.436,35.918,-296.834,472.55,25.629,-310.53,484.513,25.609,-249.386,476.431,6.398,-255.044,469.992,-2.721,-260.04
441,2.93333,486.196,77.497,-151.852,437.294,75.159,-145.212,450.624,86.339,-101.702,494.153,87.795,-96.147,413.895,47.041,-175.852,439.746,86.739,-190.028,482.781,75.58,-195.561,401.938,37.15,-207.062,424.157,99.765,-230.588,454.4,100.17,-235.946,475.274,90.783,-233.772,491.431,74.09,-230.594,394.169,12.241,-237.494,406.481,6.604,-257.997,412.263,82.695,-283.3,411.745,50.468,-296.554,413.951,35.304,-295.003,452.683,91.278,-288.631,448.289,71.637,-316.364,448.87,59.397,-328.869,482.342,61.443,-273.42,479.226,37.797,-296.44,472.304,27.648,-310.143,484.514,27.395,-249.141,476.491,8.238,-255.035,470.079,-0.845,-260.131
442,2.94,486.261,78.513,-151.258,437.334,76.171,-144.513,450.743,87.205,-101.024,494.288,88.627,-95.534,413.935,48.133,-175.247,439.698,87.979,-189.239,482.728,76.892,-194.898,402.091,38.379,-206.506,423.911,101.195,-229.763,454.189,101.599,-235.218,475.12,92.326,-233.046,491.39,75.726,-229.958,394.369,13.52,-237.036,406.704,8.006,-257.581,411.815,83.991,-282.174,411.044,52.644,-296.343,413.159,37.287,-295.914,452.029,92.649,-287.808,447.609,73.595,-315.737,448.456,61.963,-328.622,482.213,63.193,-272.874,479.071,39.716,-295.963,472.114,29.644,-309.751,484.598,29.151,-248.892,476.604,10.095,-254.91,470.254,0.978,-260.17
443,2.94667,486.289,79.604,-150.642,437.394,77.176,-143.808,450.82,88.118,-100.311,494.415,89.528,-94.908,413.991,49.268,-174.679,439.597,89.191,-188.504,482.627,78.175,-194.262,402.161,39.554,-205.974,423.662,102.578,-229.003,453.889,103.061,-234.557,474.895,93.831,-232.373,491.307,77.287,-229.42,394.681,14.713,-236.506,406.958,9.269,-257.098,411.411,85.203,-281.026,410.296,54.867,-296.265,411.99,39.698,-297.148,451.281,93.91,-287.015,446.897,75.519,-315.073,447.953,64.414,-328.338,482.1,64.893,-272.309,478.881,41.545,-295.658,471.944,31.491,-309.337,484.687,30.848,-248.62,476.78,11.781,-254.802,470.443,2.701,-260.141
444,2.95333,486.326,80.742,-150.031,437.446,78.29,-143.129,450.914,89.059,-99.594,494.522,90.424,-94.247,414.022,50.373,-174.055,439.493,90.424,-187.812,482.554,79.497,-193.688,402.278,40.752,-205.41,423.48,103.924,-228.343,453.633,104.406,-233.95,474.657,95.248,-231.748,491.202,78.829,-228.835,394.88,15.819,-235.939,407.089,10.449,-256.553,411.1,86.213,-279.954,409.567,57.03,-296.229,411.045,42.04,-298.484,450.541,94.993,-286.311,446.185,77.053,-314.377,447.339,66.391,-327.913,481.929,66.521,-271.796,478.651,43.279,-295.223,471.63,33.169,-308.866,484.728,32.484,-248.305,476.948,13.486,-254.689,470.717,4.41,-260.144
445,2.96,486.319,81.846,-149.423,437.477,79.424,-142.472,451.01,90.015,-98.892,494.607,91.373,-93.599,414.018,51.548,-173.473,439.393,91.675,-187.186,482.426,80.767,-193.094,402.287,41.92,-204.832,423.159,105.124,-227.769,453.373,105.739,-233.499,474.415,96.616,-231.184,491.067,80.288,-228.285,395.081,16.926,-235.321,407.285,11.546,-255.948,410.794,87.09,-278.974,408.881,59.053,-296.097,410.124,44.364,-299.683,449.791,95.83,-285.711,445.418,78.131,-313.617,446.621,67.757,-327.347,481.613,67.933,-271.264,478.407,44.818,-294.798,471.312,34.764,-308.46,484.81,34.076,-248.067,477.118,15.123,-254.609,470.926,6.064,-260.139
446,2.96667,486.315,82.942,-148.83,437.477,80.563,-141.827,451.114,91.033,-98.2,494.672,92.337,-92.953,413.998,52.713,-172.855,439.305,92.845,-186.583,482.321,82.012,-192.577,402.361,43.056,-204.257,422.858,106.334,-227.263,453.1,106.982,-233.059,474.183,97.856,-230.634,491.006,81.687,-227.87,395.245,18.014,-234.69,407.391,12.559,-255.35,410.478,87.86,-278.004,408.283,60.871,-295.89,409.431,46.398,-300.503,449.06,96.42,-285.21,444.537,78.553,-312.932,445.789,68.362,-326.574,481.337,69.351,-270.832,478.069,46.277,-294.428,470.918,36.169,-308.001,484.86,35.578,-247.796,477.386,16.751,-254.616,471.332,7.691,-260.274
447,2.97333,486.338,84.054,-148.278,437.515,81.714,-141.235,451.169,92.065,-97.527,494.712,93.265,-92.316,413.975,53.88,-172.273,439.202,94.076,-186.037,482.206,83.221,-192.055,402.318,44.228,-203.696,422.616,107.517,-226.809,452.805,108.174,-232.699,473.918,99.085,-230.119,490.911,83.082,-227.384,395.354,19.054,-234.105,407.495,13.525,-254.702,410.18,88.424,-277.103,407.734,62.443,-295.476,408.462,48.526,-301.194,448.325,96.769,-284.793,443.655,78.544,-312.042,444.759,68.234,-325.637,481.127,70.643,-270.395,477.681,47.437,-293.907,470.279,37.359,-307.401,484.903,37.04,-247.521,477.611,18.234,-254.55,471.644,9.222,-260.315
448,2.98,486.341,85.12,-147.774,437.521,82.878,-140.643,451.264,93.075,-96.89,494.814,94.182,-91.72,413.939,55.012,-171.704,439.089,95.235,-185.479,482.104,84.38,-191.568,402.37,45.314,-203.131,422.356,108.68,-226.328,452.557,109.419,-232.382,473.655,100.254,-229.646,490.802,84.351,-226.944,395.456,20.088,-233.456,407.508,14.502,-254.047,409.894,89.023,-276.25,407.259,63.803,-294.974,407.84,50.187,-301.367,447.615,96.958,-284.367,442.733,78.058,-311.085,443.751,67.478,-324.433,480.851,71.875,-270.047,477.001,48.514,-293.377,469.497,38.266,-306.685,484.96,38.533,-247.216,477.796,19.655,-254.422,471.94,10.713,-260.291
449,2.98667,486.322,86.11,-147.22,437.569,83.918,-140.056,451.361,94.087,-96.256,494.901,94.921,-91.256,413.887,56.146,-171.135,439.028,96.345,-184.951,482.018,85.478,-191.097,402.25,46.472,-202.577,422.148,109.841,-225.877,452.339,110.532,-232.062,473.448,101.342,-229.181,490.727,85.579,-226.53,395.429,21.175,-232.886,407.497,15.487,-253.431,409.539,89.576,-275.386,406.765,64.824,-294.211,407.246,51.505,-301.131,446.974,97.069,-283.957,441.765,77.327,-310.013,442.624,66.393,-323.017,480.567,73.058,-269.665,476.263,49.363,-292.805,468.403,38.947,-305.818,484.83,39.718,-246.851,477.894,21.054,-254.289,472.074,12.119,-260.27
450,2.99333,486.378,87.029,-146.712,437.609,85.015,-139.496,451.5,95.032,-95.63,495.038,95.724,-90.727,413.839,57.227,-170.55,438.96,97.456,-184.411,481.923,86.52,-190.646,402.176,47.592,-202.009,421.975,110.983,-225.392,452.167,111.661,-231.747,473.216,102.372,-228.685,490.621,86.719,-226.093,395.418,22.251,-232.243,407.345,16.53,-252.841,409.243,90.098,-274.552,406.318,65.659,-293.36,406.7,52.539,-300.531,446.307,97.256,-283.514,440.73,76.539,-308.855,441.427,65.108,-321.438,480.309,74.083,-269.362,475.291,49.909,-292.186,467.047,39.389,-304.775,484.793,40.941,-246.587,477.899,22.304,-254.129,472.17,13.432,-260.198
451,3,486.434,87.843,-146.241,437.637,86.011,-138.963,451.677,95.92,-95.098,495.166,96.46,-90.207,413.72,58.355,-170.009,438.923,98.497,-183.871,481.85,87.488,-190.196,402.041,48.69,-201.445,421.791,112.092,-224.867,451.973,112.734,-231.384,473.048,103.358,-228.252,490.518,87.78,-225.665,395.243,23.361,-231.685,407.209,17.486,-252.219,408.816,90.634,-273.715,405.92,66.334,-292.446,406.212,53.289,-299.72,445.694,97.559,-283.086,439.708,75.862,-307.701,440.213,63.938,-319.76,480.055,75.036,-268.972,474.328,50.489,-291.429,465.441,39.625,-303.522,484.634,42.066,-246.254,477.791,23.471,-253.894,472.086,14.593,-260.009
452,3.00667,486.421,88.573,-145.756,437.693,86.983,-138.45,451.811,96.826,-94.584,495.401,97.202,-89.659,413.693,59.345,-169.413,438.85,99.536,-183.301,481.772,88.378,-189.755,401.889,49.773,-200.854,421.64,113.189,-224.32,451.858,113.787,-230.997,472.854,104.278,-227.757,490.41,88.81,-225.28,395.082,24.396,-231.124,407.039,18.507,-251.649,408.428,91.233,-272.908,405.474,66.814,-291.436,405.791,53.812,-298.65,445.132,98.028,-282.65,438.768,75.413,-306.53,438.999,62.937,-318.061,479.84,75.968,-268.704,473.16,50.879,-290.678,463.779,39.854,-302.22,484.494,43.191,-246.032,477.597,24.543,-253.677,471.823,15.647,-259.708
453,3.01333,486.438,89.247,-145.322,437.739,87.883,-137.926,451.972,97.671,-94.054,495.586,97.775,-89.19,413.583,60.34,-168.869,438.826,100.473,-182.742,481.679,89.233,-189.295,401.71,50.866,-200.304,421.514,114.272,-223.767,451.576,114.779,-230.547,472.67,105.229,-227.258,490.255,89.766,-224.836,394.879,25.55,-230.624,406.776,19.635,-251.172,408.013,91.815,-272.098,405.071,67.208,-290.308,405.351,54.138,-297.394,444.636,98.679,-282.197,437.866,75.119,-305.351,437.804,62.051,-316.282,479.547,76.884,-268.349,471.833,51.155,-289.726,461.905,40.013,-300.711,484.344,44.236,-245.806,477.351,25.57,-253.399,471.517,16.697,-259.459
454,3.02,486.508,89.856,-144.852,437.789,88.709,-137.444,452.143,98.409,-93.565,495.753,98.348,-88.72,413.538,61.225,-168.321,438.82,101.357,-182.168,481.633,90.087,-188.933,401.486,51.895,-199.76,421.388,115.353,-223.138,451.422,115.839,-230.056,472.511,106.16,-226.758,490.139,90.736,-224.378,394.601,26.713,-230.202,406.502,20.812,-250.736,407.619,92.547,-271.287,404.689,67.57,-289.17,405.014,54.343,-296.017,444.193,99.471,-281.748,436.984,74.874,-304.099,436.687,61.078,-314.261,479.344,77.862,-268.086,470.554,51.556,-288.99,459.895,40.207,-299.088,484.081,45.26,-245.492,476.953,26.502,-253.132,471.118,17.711,-259.168
455,3.02667,486.563,90.464,-144.442,437.875,89.424,-136.93,452.293,99.164,-93.117,495.885,98.771,-88.302,413.48,62.069,-167.81,438.83,102.19,-181.594,481.571,90.865,-188.463,401.304,52.909,-199.273,421.271,116.469,-222.464,451.238,116.895,-229.492,472.349,107.136,-226.199,490.021,91.768,-223.937,394.38,27.866,-229.852,406.326,21.995,-250.395,407.183,93.338,-270.5,404.371,67.911,-287.993,404.734,54.51,-294.461,443.863,100.355,-281.34,436.215,74.429,-302.66,435.499,59.89,-311.759,479.118,78.858,-267.749,469.223,51.939,-288.121,457.738,40.387,-297.096,483.906,46.332,-245.276,476.786,27.623,-252.956,470.68,18.781,-258.858
