Frame,Time,WRUX,WRUY,WRUZ,WRRX,WRRY,WRRZ,FARX,FARY,FARZ,FAUX,FAUY,FAUZ,CMC1X,CMC1Y,CMC1Z,CMC2X,CMC2Y,CMC2Z,CMC5X,CMC5Y,CMC5Z,MCP1X,MCP1Y,MCP1Z,MCP2X,MCP2Y,MCP2Z,MCP3X,MCP3Y,MCP3Z,MCP4X,MCP4Y,MCP4Z,MCP5X,MCP5Y,MCP5Z,IPX,IPY,IPZ,FT1X,FT1Y,FT1Z,PIP2X,PIP2Y,PIP2Z,DIP2X,DIP2Y,DIP2Z,FT2X,FT2Y,FT2Z,PIP3X,PIP3Y,PIP3Z,DIP3X,DIP3Y,DIP3Z,FT3X,FT3Y,FT3Z,PIP4X,PIP4Y,PIP4Z,DIP4X,DIP4Y,DIP4Z,FT4X,FT4Y,FT4Z,PIP5X,PIP5Y,PIP5Z,DIP5X,DIP5Y,DIP5Z,FT5X,FT5Y,FT5Z
11,0.06667,501.597,-11.353,-60.089,452.67,-7.657,-59.672,464.999,4.79,-16.32,508.134,0.954,-7.399,428.887,-28.596,-93.086,462.206,4.135,-102.471,502.313,-10.299,-102.418,418.665,-25.357,-129.018,455.816,20.085,-144.619,483.347,16.376,-144.237,499.551,5.061,-137.107,513.679,-8.126,-132.759,418.055,-33.277,-167.03,428.921,-38.964,-186.703,458.694,1.701,-199.571,453.93,-27.395,-213.777,451.838,-42.02,-216.185,492.126,4.892,-199.942,483.118,-23.175,-221.955,479.581,-39.585,-227.762,513.582,-5.444,-185.191,505.079,-29.404,-211.435,493.984,-40.029,-221.929,527.875,-20.616,-174.282,521.04,-34.285,-194.383,513.261,-40.11,-202.395
12,0.07333,501.604,-11.368,-60.093,452.674,-7.655,-59.676,464.999,4.794,-16.319,508.128,0.946,-7.408,428.885,-28.594,-93.09,462.208,4.133,-102.476,502.313,-10.303,-102.416,418.678,-25.358,-129.011,455.831,20.088,-144.627,483.348,16.375,-144.236,499.555,5.057,-137.112,513.694,-8.128,-132.758,418.056,-33.274,-167.03,428.928,-38.961,-186.707,458.698,1.711,-199.568,453.926,-27.396,-213.792,451.841,-42.039,-216.19,492.114,4.888,-199.944,483.127,-23.177,-221.949,479.58,-39.588,-227.752,513.582,-5.442,-185.188,505.097,-29.408,-211.43,493.983,-40.033,-221.925,527.872,-20.606,-174.28,521.042,-34.283,-194.38,513.272,-40.102,-202.393
13,0.08,501.6,-11.356,-60.08,452.668,-7.658,-59.675,465.002,4.798,-16.324,508.133,0.959,-7.403,428.879,-28.599,-93.083,462.204,4.127,-102.465,502.319,-10.315,-102.419,418.68,-25.363,-129.017,455.827,20.094,-144.631,483.359,16.374,-144.241,499.557,5.056,-137.108,513.681,-8.137,-132.756,418.06,-33.274,-167.038,428.93,-38.952,-186.704,458.701,1.701,-199.57,453.926,-27.397,-213.785,451.848,-42.032,-216.188,492.122,4.888,-199.942,483.137,-23.182,-221.952,479.563,-39.592,-227.744,513.586,-5.443,-185.184,505.076,-29.405,-211.418,493.975,-40.043,-221.925,527.883,-20.605,-174.283,521.041,-34.28,-194.383,513.283,-40.106,-202.397
14,0.08667,501.601,-11.371,-60.088,452.686,-7.645,-59.682,465,4.802,-16.321,508.135,0.961,-7.404,428.891,-28.6,-93.089,462.213,4.127,-102.473,502.32,-10.314,-102.419,418.672,-25.37,-129.013,455.843,20.094,-144.632,483.359,16.372,-144.232,499.562,5.055,-137.107,513.685,-8.127,-132.756,418.067,-33.273,-167.03,428.925,-38.955,-186.705,458.702,1.701,-199.563,453.922,-27.409,-213.783,451.852,-42.036,-216.192,492.118,4.893,-199.941,483.125,-23.178,-221.948,479.569,-39.607,-227.746,513.577,-5.457,-185.178,505.094,-29.408,-211.432,493.993,-40.023,-221.929,527.871,-20.609,-174.277,521.049,-34.283,-194.384,513.269,-40.113,-202.388
15,0.09333,501.6,-11.367,-60.089,452.674,-7.651,-59.678,464.993,4.802,-16.324,508.122,0.965,-7.403,428.886,-28.598,-93.088,462.209,4.128,-102.469,502.322,-10.318,-102.414,418.668,-25.365,-129.013,455.846,20.1,-144.633,483.355,16.373,-144.236,499.568,5.047,-137.101,513.682,-8.13,-132.755,418.066,-33.279,-167.039,428.926,-38.954,-186.711,458.708,1.702,-199.573,453.928,-27.392,-213.79,451.85,-42.035,-216.193,492.123,4.891,-199.946,483.133,-23.171,-221.948,479.578,-39.595,-227.742,513.576,-5.454,-185.184,505.075,-29.412,-211.428,493.969,-40.046,-221.916,527.879,-20.624,-174.287,521.039,-34.283,-194.379,513.281,-40.107,-202.398
16,0.1,501.596,-11.363,-60.085,452.668,-7.656,-59.682,464.991,4.801,-16.325,508.122,0.966,-7.408,428.884,-28.602,-93.09,462.201,4.123,-102.467,502.313,-10.314,-102.409,418.67,-25.372,-129.009,455.841,20.101,-144.63,483.353,16.374,-144.233,499.562,5.061,-137.106,513.682,-8.138,-132.753,418.062,-33.266,-167.03,428.93,-38.958,-186.703,458.713,1.713,-199.565,453.934,-27.385,-213.789,451.847,-42.032,-216.181,492.12,4.89,-199.94,483.133,-23.184,-221.948,479.567,-39.601,-227.736,513.582,-5.455,-185.184,505.076,-29.414,-211.431,493.965,-40.049,-221.913,527.88,-20.614,-174.28,521.039,-34.292,-194.382,513.272,-40.099,-202.384
17,0.10667,501.587,-11.36,-60.08,452.666,-7.65,-59.68,464.999,4.802,-16.321,508.119,0.968,-7.403,428.877,-28.591,-93.087,462.208,4.136,-102.466,502.314,-10.306,-102.41,418.661,-25.375,-129.014,455.848,20.104,-144.628,483.355,16.37,-144.233,499.568,5.053,-137.114,513.67,-8.133,-132.748,418.058,-33.274,-167.029,428.924,-38.962,-186.7,458.706,1.705,-199.562,453.935,-27.38,-213.79,451.849,-42.033,-216.184,492.117,4.886,-199.939,483.13,-23.181,-221.946,479.567,-39.594,-227.726,513.586,-5.452,-185.183,505.074,-29.406,-211.428,493.96,-40.045,-221.917,527.878,-20.623,-174.278,521.038,-34.284,-194.378,513.256,-40.118,-202.377
18,0.11333,501.591,-11.368,-60.086,452.668,-7.65,-59.684,464.99,4.811,-16.331,508.111,0.968,-7.404,428.877,-28.606,-93.087,462.203,4.146,-102.467,502.302,-10.304,-102.413,418.664,-25.37,-129.021,455.845,20.106,-144.629,483.351,16.376,-144.237,499.55,5.05,-137.1,513.653,-8.118,-132.742,418.064,-33.272,-167.039,428.921,-38.971,-186.705,458.701,1.707,-199.568,453.929,-27.389,-213.79,451.846,-42.038,-216.189,492.118,4.895,-199.936,483.123,-23.181,-221.949,479.566,-39.598,-227.732,513.571,-5.453,-185.18,505.078,-29.405,-211.426,493.972,-40.041,-221.915,527.879,-20.612,-174.279,521.028,-34.287,-194.371,513.276,-40.108,-202.393
19,0.12,501.583,-11.366,-60.083,452.661,-7.65,-59.679,464.984,4.813,-16.328,508.112,0.97,-7.412,428.883,-28.601,-93.081,462.187,4.141,-102.46,502.308,-10.306,-102.409,418.655,-25.371,-129.028,455.839,20.105,-144.631,483.342,16.376,-144.232,499.554,5.061,-137.103,513.671,-8.133,-132.747,418.058,-33.284,-167.028,428.924,-38.955,-186.705,458.704,1.705,-199.563,453.919,-27.397,-213.786,451.84,-42.035,-216.19,492.117,4.885,-199.939,483.115,-23.173,-221.936,479.573,-39.589,-227.73,513.574,-5.447,-185.182,505.081,-29.407,-211.423,493.968,-40.041,-221.917,527.884,-20.605,-174.275,521.033,-34.294,-194.367,513.266,-40.109,-202.381
20,0.12667,501.575,-11.356,-60.078,452.657,-7.651,-59.681,464.987,4.819,-16.333,508.116,0.978,-7.413,428.882,-28.594,-93.088,462.193,4.135,-102.464,502.297,-10.306,-102.403,418.665,-25.372,-129.015,455.849,20.109,-144.634,483.34,16.375,-144.232,499.557,5.062,-137.102,513.672,-8.13,-132.742,418.061,-33.277,-167.035,428.929,-38.968,-186.706,458.695,1.71,-199.569,453.93,-27.383,-213.785,451.845,-42.035,-216.187,492.121,4.902,-199.943,483.12,-23.186,-221.941,479.563,-39.603,-227.728,513.575,-5.453,-185.174,505.08,-29.409,-211.413,493.977,-40.029,-221.923,527.874,-20.619,-174.277,521.037,-34.274,-194.377,513.265,-40.116,-202.385
